input_raw,rxnorm_rxcui,rxnorm_name,rxnorm_tty,atc_l1_code,atc_l1_name,atc_l2_code,atc_l2_name,atc_l3_code,atc_l3_name,atc_l4_code,atc_l4_name
duodart bisoprolol asa,19484.0,bisoprolol,IN,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
sulfazalasina,9524.0,sulfasalazine,IN,A,,A07,,A07E,,A07EC,Aminosalicylic acid and similar agents
budesonida suspendida,19831.0,budesonide,IN,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
toma actualmente,,,,,,,,,,,
tompiramato,,,,,,,,,,,
eterocoxim,,,,,,,,,,,
medicamentos naturistas,,,,,,,,,,,
toma ningun medicamento,,,,,,,,,,,
tricovid,,,,,,,,,,,
metformina dapaglifozina,6809.0,metformin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
noratriptam migrana,,,,,,,,,,,
enoxaparina cada dia u,,,,,,,,,,,
quimioterapia endovenosa,,,,,,,,,,,
ganaplus,,,,,,,,,,,
levodopa carbidopa,,,,,,,,,,,
dolex acetaminofen ocasional,,,,,,,,,,,
buscpina fem,2590818.0,Fem Choice,BN,G,,G03,,G03A,,G03AC,Progestogens
amlodipino mg cada horas,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
acetazolamida mg cada hoaras oral,167.0,acetazolamide,IN,S,,S01,,S01E,,S01EC,Carbonic anhydrase inhibitors
verapailo,11170.0,verapamil,IN,C,,C08,,C08D,,C08DA,Phenylalkylamine derivatives
divalproato sodico,4981.0,gold sodium thiomalate,PIN,M,,M01,,M01C,,M01CB,Gold preparations
metotrexate mg semana octubre,6851.0,methotrexate,IN,L,,L01,,L01B,,L01BA,Folic acid analogues
caldrate,215850.0,Caltrate,BN,A,,A02,,A02A,,A02AC,Calcium compounds
cefeina dipirona,1886.0,caffeine,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
planificacion inyectable,,,,,,,,,,,
femel,1305100.0,ethanol 0.75 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
trimetropin sulfaetoxazol,10831.0,sulfamethoxazole / trimethoprim,MIN,J,,J01,,J01E,,J01EC,Intermediate-acting sulfonamides
forxiga dapaglifozina,1534343.0,dapagliflozin Oral Tablet [Farxiga],SBDF,A,,A10,,A10B,,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
acetaminofen mas cafeina,1099282.0,Mielim Y Mas,BN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
ocaional dolor antiinflamatorios,1307051.0,ethanol 0.75 ML/ML Medicated Pad,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
colecalciferol,2418.0,cholecalciferol,IN,A,,A11,,A11J,,A11JB,Vitamins with minerals
antialergico,,,,,,,,,,,
sertarlina,,,,,,,,,,,
tacrolimus liberacion prolongada mg dia,42316.0,tacrolimus,IN,L,,L04,,L04A,,L04AD,Calcineurin inhibitors
peolietilenglicol,,,,,,,,,,,
clnodina,,,,,,,,,,,
exenestal,,,,,,,,,,,
sumatoline,,,,,,,,,,,
toma medicamentso,,,,,,,,,,,
metfomina,6809.0,metformin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
rifaximina trimebutina simeticona,9796.0,simethicone,IN,A,,A02,,A02A,,A02AF,Antacids with antiflatulents
acetaminofen cefalea,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
amoxicilina clavulonato,723.0,amoxicillin,IN,J,,J01,,J01C,,J01CA,Penicillins with extended spectrum
antoconceptivos orales,,,,,,,,,,,
citrato clomifeno,2596.0,clomiphene,IN,G,,G03,,G03G,,G03GB,"Ovulation stimulants, synthetic"
dosaxocina,,,,,,,,,,,
medicamentos,,,,,,,,,,,
anticinceptivos orales,,,,,,,,,,,
anemidox ocasional,2655813.0,amiodarone hydrochloride Oral Tablet [Amidox],SBDFP,,,,,,,,
solifenacina mg,322167.0,solifenacin,IN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
doxicicilina,,,,,,,,,,,
medicamenteos,,,,,,,,,,,
medicamentos ahora,215168.0,Alora,BN,G,,G03,,G03C,,G03CA,"Natural and semisynthetic estrogens, plain"
fluorometolona gotas,4491.0,fluorometholone,IN,S,,S01,,S01C,,S01CA,Corticosteroids and antiinfectives in combination
ivermectina,6069.0,ivermectin,IN,P,,P02,,P02C,,P02CF,Avermectines
calcio ocasional,1895.0,calcium,IN,,,,,,,,
lasrtan hidroclorotiazida,5487.0,hydrochlorothiazide,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
venetoclax x mgs,1747556.0,venetoclax,IN,L,,L01,,L01X,,L01XX,Other antineoplastic agents
antus u sc manana,261551.0,Lantus,BN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
solifenacina,322167.0,solifenacin,IN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
lirica x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
losartan hidroclorotiazida tab cada dia,372650.0,hydrochlorothiazide / losartan Oral Tablet,SCDF,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
salbutmaol urgencia crisis,616011.0,Orencia,BN,L,,L04,,L04A,,L04AA,Selective immunosuppressants
testoterona trimestral im,10379.0,testosterone,IN,G,,G03,,G03B,,G03BA,3-oxoandrosten (4) derivatives
artrador,,,,,,,,,,,
glucophage xr mg tab diaria,802051.0,metformin Extended Release Oral Tablet [Glucophage],SBDF,A,,A10,,A10B,,A10BA,Biguanides
enzima digestiva,1310754.0,inulin 200 MG / Lacticaseibacillus rhamnosus GG 10000000000 UNT Oral Capsule,SCD,,,,,,,,
niega madre,199163.0,melatonin 3 MG Oral Tablet,SCD,N,,N05,,N05C,,N05CH,Melatonin receptor agonists
niega padre,,,,,,,,,,,
ninguna mediacion,,,,,,,,,,,
dolexina relax,197502.0,chlorzoxazone 500 MG Oral Tablet,SCD,M,,M03,,M03B,,M03BB,"Oxazol, thiazine, and triazine derivatives"
ajo sao palmeto,2056696.0,Ajovy,BN,N,,N02,,N02C,,N02CD,Calcitonin gene-related peptide (CGRP) antagonists
ningo,729238.0,Zingo,BN,N,,N01,,N01B,,N01BB,Amides
levotorixina,,,,,,,,,,,
bisoprolol x,19484.0,bisoprolol,IN,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
piridostigmina mg,9000.0,pyridostigmine,IN,N,,N07,,N07A,,N07AA,Anticholinesterases
suplemento vitamina d,11253.0,vitamin D,IN,,,,,,,,
telmisarta amlodipino,901212.0,amlodipine / telmisartan,MIN,C,,C08,,C08C,,C08CA,Dihydropyridine derivatives
acido acetil salicilico mg,9525.0,salicylic acid,IN,D,,D02,,D02A,,D02AF,Salicylic acid preparations
valsartan hctz mg,214626.0,hydrochlorothiazide / valsartan,MIN,C,,C09,,C09D,,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics
perindopril indapamida amlodipino,388499.0,indapamide / perindopril,MIN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
rosuvastatina x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
esomeprazol mg cada dia,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
actaminofen hidrocodona,5489.0,hydrocodone,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
levotiroxina cmg mcg fin semana,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
yasminiq aticonceptivo,748857.0,{21 (drospirenone 3 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Yasmin 28 Day],BPCK,G,,G03,,G03A,,G03AC,Progestogens
cardioaspirina mg interdiaria,308416.0,aspirin 81 MG Delayed Release Oral Tablet,SCD,B,,B01,,B01A,,B01AC,Platelet aggregation inhibitors excl. heparin
quetipina,51272.0,quetiapine,IN,N,,N05,,N05A,,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
dutasteride mg,228790.0,dutasteride,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
morfina jeringa mg ml x ml,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
medicamentos homeopaticos,285167.0,Urtica urens homeopathic preparation,IN,,,,,,,,
levotiroxina x mgd,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
omega iii,220305.0,Thrombate III,BN,B,,B01,,B01A,,B01AB,Heparin group
rosuvasttativa x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
levodopa benserazida,619749.0,benserazide / levodopa,MIN,N,,N04,,N04B,,N04BA,Dopa and dopa derivatives
suplencias,,,,,,,,,,,
azelastina fluticasona,18603.0,azelastine,IN,R,,R01,,R01A,,R01AD,Corticosteroids
anticoncetivos orales,,,,,,,,,,,
artrodal plastidine,,,,,,,,,,,
empagliflozina jardiance,1545659.0,Jardiance,BN,A,,A10,,A10B,,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
sal glober,9522.0,salicylate,PIN,D,,D01,,D01A,,D01AE,Other antifungals for topical use
dianogenst,,,,,,,,,,,
enalapirl mg horas,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
valsartan horas,69749.0,valsartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
vitamina b d cloruro magnesio zinc aceite pescado,1117107.0,Veneno de Abeja Aceite de Vibora,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
levosulpirida,,,,,,,,,,,
vitaminas zinc magnesio b,11251.0,vitamin B complex,IN,,,,,,,,
topiramato migrana toma tableta diaria mg,42643.0,Migranal,BN,N,,N02,,N02C,,N02CA,Ergot alkaloids
gotas oculares prednisolona ojo derecho,8638.0,prednisolone,IN,H,,H02,,H02A,,H02AB,Glucocorticoids
venlafaxina mg dia,39786.0,venlafaxine,IN,N,,N06,,N06A,,N06AX,Other antidepressants
celebrex,215927.0,Celebrex,BN,L,,L01,,L01X,,L01XX,Other antineoplastic agents
amlodipino mgr cada h,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
pilocarpina x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
amitriptilina x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
valcote er mgs,304959.0,Valcyte,BN,J,,J05,,J05A,,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
dexametasona,3264.0,dexamethasone,IN,S,,S01,,S01C,,S01CA,Corticosteroids and antiinfectives in combination
telmisartan amlodiino,901212.0,amlodipine / telmisartan,MIN,C,,C08,,C08C,,C08CA,Dihydropyridine derivatives
amitrioptilina,704.0,amitriptyline,IN,N,,N06,,N06A,,N06AA,Non-selective monoamine reuptake inhibitors
anticponceptivos orales,,,,,,,,,,,
inhibidor bomba protones recuerda nombre,8040.0,peptones,IN,,,,,,,,
ezetimibe simvastatina mg dia,484211.0,ezetimibe / simvastatin,MIN,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
acetamiofnen,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
loperamida cc,6468.0,loperamide,IN,A,,A07,,A07D,,A07DA,Antipropulsives
dovir,900434.0,ibuprofen 200 MG Oral Tablet [Addaprin],SBD,M,,M01,,M01A,,M01AE,Propionic acid derivatives
telsisartan x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
carbonato calcio,1897.0,calcium carbonate,IN,A,,A12,,A12A,,A12AX,"Calcium, combinations with vitamin D and/or other drugs"
entacapona levodopa carbidopa,404786.0,carbidopa / entacapone / levodopa,MIN,N,,N04,,N04B,,N04BA,Dopa and dopa derivatives
c valproico,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
levotiroxina ug dia l d,7500.0,nomifensine,IN,N,,N06,,N06A,,N06AX,Other antidepressants
fluorocortisona,4452.0,fludrocortisone,IN,H,,H02,,H02A,,H02AA,Mineralocorticoids
omega ocasional hace dias toma,4301.0,omega-3 fatty acids,IN,,,,,,,,
semaglutide hace dias,1991302.0,semaglutide,IN,A,,A10,,A10B,,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
empaglifozina linagliptina,1598392.0,empagliflozin / linagliptin,MIN,A,,A10,,A10B,,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
semaglutide diaria,1991302.0,semaglutide,IN,A,,A10,,A10B,,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
muvett s,863965.0,S-2,BN,,,,,,,,
winadeine f necesidad,217508.0,Hemocyte-F,BN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
duraflex necesidad migrana,42643.0,Migranal,BN,N,,N02,,N02C,,N02CA,Ergot alkaloids
etericoxib,307296.0,etoricoxib,IN,M,,M01,,M01A,,M01AH,Coxibs
amlodpino,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
broncodilatadores,,,,,,,,,,,
calcifediol,1889.0,calcifediol,IN,H,,H05,,H05B,,H05BX,Other anti-parathyroid agents
bromuro pinaberio,203212.0,ipratropium bromide,PIN,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
metlatonina dormir,1919068.0,Dormin,BN,R,,R06,,R06A,,R06AA,Aminoalkyl ethers
analgsicos resto,1101108.0,Rest Simply,BN,R,,R06,,R06A,,R06AA,Aminoalkyl ethers
capecitadina,194000.0,capecitabine,IN,L,,L01,,L01B,,L01BC,Pyrimidine analogues
urocuad mg,,,,,,,,,,,
pancreatina,7880.0,pancreatin,IN,,,,,,,,
sabila,1310161.0,Juniperus sabina leaf,IN,,,,,,,,
satoren h forte losartan hidroclorotiazida mg mg,214619.0,hydrochlorothiazide / losartan,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
biocalcium,2585217.0,dicalcium citrate,IN,,,,,,,,
rivarixaban,1114195.0,rivaroxaban,IN,B,,B01,,B01A,,B01AF,Direct factor Xa inhibitors
bilasten,2659025.0,benzalkonium chloride Topical Solution [Blister Blaster],SBDFP,,,,,,,,
jardiance x mgs,1545659.0,Jardiance,BN,A,,A10,,A10B,,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
kardic x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
carvedilol mg tableta cada horas,20352.0,carvedilol,IN,C,,C07,,C07A,,C07AG,Alpha and beta blocking agents
inhalador nasal esteroide azec,2720028.0,menthol 0.0035 MG/MG / petrolatum 0.797 MG/MG / zinc oxide 0.05 MG/MG Rectal Ointment,SCD,D,,D02,,D02A,,D02AB,Zinc products
plenacor atenolol,1202.0,atenolol,IN,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
ibuprofeno metocarbamol,5640.0,ibuprofen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
bisoprolol mg tab noche,371104.0,bisoprolol Oral Tablet,SCDF,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
exforge amlodipino mg valsartan mg hctz mg,848148.0,amlodipine / hydrochlorothiazide / valsartan Oral Tablet [Exforge HCT],SBDF,C,,C08,,C08C,,C08CA,Dihydropyridine derivatives
antivirales,1307051.0,ethanol 0.75 ML/ML Medicated Pad,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
omnilafe,,,,,,,,,,,
ninguno suspendio antihipertensivos cuenta,805579.0,"rotavirus vaccine, live attenuated, G1P[8] human 89-12 strain 1000000 UNT/ML Oral Suspension [Rotarix]",SBD,J,,J07,,J07B,,J07BH,Rota virus diarrhea vaccines
advil ibuprofeno,153010.0,Advil,BN,M,,M01,,M01A,,M01AE,Propionic acid derivatives
venlafaxina capsulas x mg capsula am,221105.0,Haemophilus capsular oligosaccharide,IN,,,,,,,,
meds bellaface,197803.0,ibuprofen 20 MG/ML Oral Suspension,SCD,M,,M01,,M01A,,M01AE,Propionic acid derivatives
mesds,197803.0,ibuprofen 20 MG/ML Oral Suspension,SCD,M,,M01,,M01A,,M01AE,Propionic acid derivatives
anticoceptivos orales,,,,,,,,,,,
fluticasona vilanterol mcg vez dia,1424888.0,fluticasone / vilanterol,MIN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
irbesartan mg,83818.0,irbesartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
verapamilo mg c h,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
quetiapina mg dia,51272.0,quetiapine,IN,N,,N05,,N05A,,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
losartan mg x amlodipino mg x acido acetilsalicilico mg x atorvastatina mg x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
acetamiofen,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
espronaolactona mg cada horas,,,,,,,,,,,
insulina xultophy,1860168.0,Xultophy,BN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
efavirenz,195085.0,efavirenz,IN,J,,J05,,J05A,,J05AR,"Antivirals for treatment of HIV infections, combinations"
clobazam mg cada horas,21241.0,clobazam,IN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
magnesio zinc,11416.0,zinc,IN,,,,,,,,
metoprolol succ mg x,221124.0,metoprolol succinate,PIN,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
celecoxib suspendido,140587.0,celecoxib,IN,L,,L01,,L01X,,L01XX,Other antineoplastic agents
multivotaminas,313599.0,ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / vitamin A 0.45 MG/ML Oral Solution,SCD,A,,A11,,A11C,,A11CA,"Vitamin A, plain"
ao diane,800041.0,Dianeal PD-2/2.5,BN,A,,A12,,A12A,,A12AA,Calcium
asa x dia suspendido,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
clonazepan gotas,2598.0,clonazepam,IN,N,,N03,,N03A,,N03AE,Benzodiazepine derivatives
umira mg,353484.0,Humira,BN,L,,L04,,L04A,,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors
acido acetilsalicilico mg dia,1191.0,aspirin,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
slinda aco,10237.0,sulindac,IN,M,,M01,,M01A,,M01AB,Acetic acid derivatives and related substances
vitaminas embarazo,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
lacosamida mg cada horas,623400.0,lacosamide,IN,N,,N03,,N03A,,N03AX,Other antiepileptics
misoprolol mg dia,19484.0,bisoprolol,IN,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
diovan mg tableta dia,216652.0,Diovan,BN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
magnesio potasio,8588.0,potassium,IN,C,,C03,,C03C,,C03CB,Sulfonamides and potassium in combination
acetazolamida tabletas,167.0,acetazolamide,IN,S,,S01,,S01E,,S01EC,Carbonic anhydrase inhibitors
acetaminofen dolex ocasional,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
olopatadina gotas,135391.0,olopatadine,IN,S,,S01,,S01G,,S01GX,Other antiallergics
erfiere,,,,,,,,,,,
recibia nitrofurantoina,7454.0,nitrofurantoin,IN,J,,J01,,J01X,,J01XE,Nitrofuran derivatives
floratil,902574.0,ethanol 0.65 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
antigripal,2691101.0,acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Effervescent Oral Tablet,SCD,N,,N02,,N02B,,N02BE,Anilides
mutlvitaminicos,,,,,,,,,,,
anexia dolor,2656087.0,acetaminophen / hydrocodone bitartrate Oral Tablet [Anexsia],SBDFP,,,,,,,,
anticionceptivos,,,,,,,,,,,
diclofenac codeina,1008110.0,codeine / diclofenac,MIN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
acetamionfen codeina,2670.0,codeine,IN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
magnesio ocasional,6574.0,magnesium,IN,,,,,,,,
tocilizumab cada mes,612865.0,tocilizumab,IN,L,,L04,,L04A,,L04AC,Interleukin inhibitors
anticonceptivo porales,2103294.0,ficusin,IN,,,,,,,,
wellbutrin bupropion,491056.0,bupropion Extended Release Oral Tablet [Wellbutrin],SBDF,N,,N06,,N06A,,N06AX,Other antidepressants
sertan,,,,,,,,,,,
planificacion familiar,894987.0,dog skin extract,IN,V,,V01,,V01A,,V01AA,Allergen extracts
rosusvastatina x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
bibartato hidrocodona,5489.0,hydrocodone,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
propafenona x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
adorlan,,,,,,,,,,,
pec estrenimiento,308762.0,bismuth subsalicylate 17.5 MG/ML Oral Suspension,SCD,A,,A07,,A07B,,A07BB,Bismuth preparations
magenesio,6582.0,magnesium oxide,IN,A,,A11,,A11J,,A11JB,Vitamins with minerals
alendronato osteopenia,46041.0,alendronate,IN,M,,M05,,M05B,,M05BA,Bisphosphonates
reemplazo hormonal via oral,1427222.0,parathyroid hormone,IN,H,,H05,,H05A,,H05AA,Parathyroid hormones and analogues
ningno,,,,,,,,,,,
vit c zinc,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
bismuto subsalicilato,19478.0,bismuth subsalicylate,IN,A,,A07,,A07B,,A07BB,Bismuth preparations
pradaxa dabigatran mg cada horas,2590618.0,dabigatran etexilate Oral Pellet [Pradaxa],SBDF,B,,B01,,B01A,,B01AE,Direct thrombin inhibitors
tocilizumab,612865.0,tocilizumab,IN,L,,L04,,L04A,,L04AC,Interleukin inhibitors
fesofenadina,87636.0,fexofenadine,IN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
analgesica,998598.0,Analgesic Balm GRX,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
lorazepan mg,6470.0,lorazepam,IN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
excelges citragel,1362890.0,citral,IN,,,,,,,,
losartan amlodpino,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
levodopa entacapone,404786.0,carbidopa / entacapone / levodopa,MIN,N,,N04,,N04B,,N04BA,Dopa and dopa derivatives
dapagliflozina tab dia am,1488568.0,dapagliflozin Oral Tablet,SCDF,A,,A10,,A10B,,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
topiramatol,38404.0,topiramate,IN,A,,A08,,A08A,,A08AA,Centrally acting antiobesity products
gaviscone,25655.0,Gaviscon,BN,A,,A02,,A02A,,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds"
emulsion scott,219820.0,Scot-Tussin,BN,R,,R05,,R05C,,R05CA,Expectorants
lantanoprost gotas,43611.0,latanoprost,IN,S,,S01,,S01E,,S01EE,Prostaglandin analogues
poantioprazol,40790.0,pantoprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
eritropoyetina,,,,,,,,,,,
vitamina c zinc omega,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
qlaire,581660.0,ethanol 0.62 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
sulfato ferroso mg,2473.0,chondroitin sulfates,IN,M,,M01,,M01A,,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
synthroid tabl ug l j ug resto dias,966250.0,levothyroxine sodium 0.1 MG Oral Tablet [Synthroid],SBD,H,,H03,,H03A,,H03AA,Thyroid hormones
medicamentos naturales omega,1089808.0,Tears Naturale PM,BN,S,,S01,,S01X,,S01XA,Other ophthalmologicals
mw suplemento dietario,2118533.0,polyethyloxazoline (200000 MW),IN,,,,,,,,
femoston condi estradiol,4083.0,estradiol,IN,G,,G03,,G03F,,G03FA,"Progestogens and estrogens, fixed combinations"
clorofila,,,,,,,,,,,
amocxiclina,,,,,,,,,,,
fursemida,4603.0,furosemide,IN,C,,C03,,C03C,,C03CA,"Sulfonamides, plain"
acido zoledronico,77655.0,zoledronic acid,IN,M,,M05,,M05B,,M05BA,Bisphosphonates
refeire,,,,,,,,,,,
alerfast temporal,1311347.0,Sus scrofa temporal lobe preparation,IN,,,,,,,,
anticoncepcion pila,2655603.0,pilocarpine hydrochloride Ophthalmic Solution [Pilagan],SBDFP,,,,,,,,
estreoide nasal,,,,,,,,,,,
anticonceoptivos oralas,2711539.0,Streptococcus oralis,IN,,,,,,,,
libido,,,,,,,,,,,
antihistaminico vilastina,1366495.0,Ahist Antihistamine,BN,R,,R06,,R06A,,R06AE,Piperazine derivatives
vitamina c ocsional,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
metrotrexate,6851.0,methotrexate,IN,L,,L01,,L01B,,L01BA,Folic acid analogues
mometazona nasal,1165392.0,mometasone Nasal Product,SCDG,D,,D07,,D07A,,D07AC,"Corticosteroids, potent (group III)"
tadalafilo tab diaria,358263.0,tadalafil,IN,G,,G04,,G04B,,G04BE,Drugs used in erectile dysfunction
isoflavonas,259226.0,soy protein isolate 40 MG Oral Tablet,SCD,,,,,,,,
propranolol mg c noche,8787.0,propranolol,IN,C,,C07,,C07A,,C07AA,"Beta blocking agents, non-selective"
hierro vitaminas,90176.0,iron,IN,,,,,,,,
ashawanda,,,,,,,,,,,
rosuvatatina,301542.0,rosuvastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
mirabregon,1300786.0,mirabegron,IN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
dolex forte ocasional,202844.0,Pred Forte,BN,S,,S01,,S01B,,S01BA,"Corticosteroids, plain"
levotiroxina ugr lunes sabado via oral,1181484.0,Lunesta Oral Product,SBDG,N,,N05,,N05C,,N05CF,Benzodiazepine related drugs
sirduo x mgs,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
clonazepam gota diaria,2598.0,clonazepam,IN,N,,N03,,N03A,,N03AE,Benzodiazepine derivatives
clazapina,2626.0,clozapine,IN,N,,N05,,N05A,,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
fexofenadina ocasional,87636.0,fexofenadine,IN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
freslipausia,,,,,,,,,,,
estalevo,1372713.0,Stalevo,BN,N,,N04,,N04B,,N04BA,Dopa and dopa derivatives
anticonceptivas orales,,,,,,,,,,,
anticonceptivo hormonal,1427222.0,parathyroid hormone,IN,H,,H05,,H05A,,H05AA,Parathyroid hormones and analogues
