input_es,input_en,icd10pcs_code,icd10pcs_term
CORRECCION ESCOLIOSIS TORACICA,THORACIC SCOLIOSIS CORRECTION,L1060,Thoracic pad
QX MII#4,QX MII#4,,
RESECCION LUNAR EN PIE,LUNAR RESECTION ON FOOT,,
CESAERA + POMEROY,CESAERA + POMEROY,,
FRACTURA DE BRAZO DERA,REAR ARM FRACTURE,E0144,Enclosed walker w rear seat
TUNEL CARPIANO,CARPAL TUNNEL,,
OST RADIO DISTAL,OST DISTAL RADIO,A4422,Ost pouch absorbent material
DERIVACION BILIAR,BILIARY DIVERSION,C7545,Exch bil cath w/ rmv calculi
CPERS: OK,CPERS: OK,M1045,Fs oks 9-15mo >= 37 >= 71
RESECCIÓN DE T. VAGINAL,VAGINAL T. RESECTION,J7303,Contraceptive vaginal ring
LUXACION ACROMIOCLAVICULAR,ACROMIOCLAVICULAR LUXATION,L3670,So acro/clav can web pre ots
APLICACION DE BÓTOX,BOTOX APPLICATION,A7034,Nasal application device
CX NASAL POR CA BASOCELULAR.,NASAL CX BY BASOCELLULAR CA.,,
CX DE FISURA ANAL,ANAL FISSURE CX,L8605,Inj bulking agent anal canal
SEPTOPLASTIA - TURBINOPLASTICA,SEPTOPLASTY - TURBINOPLASTICA,,
ADENOAMIGDALECTOMIA/TUBOS VENTILATORIOS,ADENOAMIGDALECTOMY/VENTILATORY TUBES,,
CX ESTETICA-RECONSTRUCCION MAMA,CX AESTHETICS-BREAST RECONSTRUCTION,,
OTS DE TIBIA,OTS OF TIBIA,C8003,Imp extar knee shck absrb
OSTEOSINTESIS PERONE PIERNA DERCHA,FIBUM OSTEOSYNTHESIS RIGHT LEG,,
CX RODILLA DERECHA ARTROSCOPIA,CX RIGHT KNEE ARTHROSCOPY,,
PTERIGIO OI,OI PTERYGIGUM,C1814,"Retinal tamp, silicone oil"
AMOPLASTIA DE AUMENTO,AUGMENTATION AMOPLASTY,C9737,Lap esoph augmentation
6 CX DE CODO,6 CX ELBOW,G9424,Site no lung or lung cx
CX MIEMB SUP DERECHO,CX RIGHT SUP MEMBER,,
ESPONDILOLISTESIS,SPONDYLOLISTHESIS,,
RESECCION LESION VULVA,VULVA LESION RESECTION,,
LAPAROSCOPIA #4,LAPAROSCOPY #4,G0342,Laparoscopy islet cell trans
INJERTOS DE PIEL POR QUEMADURA,SKIN GRAFTS FOR BURNS,,
LAPAROSCOPIA/LIBERACION BRIDAS,LAPAROSCOPY/BRIDGE RELEASE,G0342,Laparoscopy islet cell trans
CX OFTALMOLOGICAS,OPHTHALMOLOGICAL CX,S0620,Routine ophthalmological exa
MAMOPLASTIA DE AUMENTO Y LIPOSUCCION,AUGMENTATION MAMMOPLASTY AND LIPOSUCTION,,
MAMOIPLASTIA DE AUMENTO .,AUGMENTATION MAMOIPLASTY.,C9737,Lap esoph augmentation
CX PIE IZQ,CX LEFT FOOT,G9502,Med reas no perf foot exam
ADENOIDECTOMÍA.,ADENOIDECTOMY.,,
"CISTOPEXIA , HISTERECTOMIA","CYSTOPEXY, HYSTERECTOMY",G9774,Pt had hyst
CISTOLITOTOMIA,CYSTOLITOTOMY,,
OST MUÑECA IZQUIERDA,OST LEFT WRIST,A4422,Ost pouch absorbent material
MULTIPLES LAVADOS,MULTIPLE WASHES,G0431,Drug screen multiple class
CORRECCION DE URETEROCELE.,CORRECTION OF URETEROCELE.,S0596,Phakic iol refractive error
REPARO LCA RODILLA IZQ,LEFT KNEE ACL REPAIR,,
CIRUGIOA DE LABIO,LIP SURGERY,Q9955,"Inj perflexane lip micros,ml"
TENORRAFIA FLEXORES MANO DER,RIGHT HAND FLEXOR TENORRHAPHY,,
CIRUGÍA BARIÁTRICA.,BARIATRIC SURGERY.,G9643,Elective surgery
CIRCUNSISION,CIRCUMSISION,,
CX LASER OCULAR,CX LASER EYE,G9424,Site no lung or lung cx
FIBROADENOMAS MAMAS,BREAST FIBROADENOMAS,C1789,"Prosthesis, breast, imp"
MULTIPLES CIRUGIAS DE ORTOPEDIA MENCIONADAS,MULTIPLE ORTHOPEDIC SURGERIES MENTIONED,,
CX MANGUITO ROTADO IZQ,CX LEFT ROTATED HOSE,,
REDUCCION FX CODO,FX ELBOW REDUCTION,C1062,Intravertebral fx aug impl
OST TOBILLO IZQ,OST LEFT ANKLE,A4422,Ost pouch absorbent material
LIBERACION TUNEL CARPO #2,CARPAL TUNNEL RELEASE #2,,
TQT / GASTROSTOMIA,TQT / GASTROSTOMY,B4087,"Gastro/jejuno tube, std"
CESÁREA POR MACROSOMIA,CESAREAN SECTION DUE TO MACROSOMIA,,
RINOPLASTIA-HENRIORRAFIA INGUINAL,RHINOPLASTY-INGUINAL HENRIORRHAPHY,,
CX UROLOGICA #2,CX UROLOGY #2,G9424,Site no lung or lung cx
"OSTEOSINTSIS FX TIBIA IZQ, CX ORBITA","OSTEOSINTSIS FX LEFT TIBIA, CX ORBITA",,
ESTAPEDECTOMIA OI,OI STAPEDECTOMY,C1814,"Retinal tamp, silicone oil"
CISTOSCOPIA #2,CYSTOSCOPY #2,C9739,Cystoscopy prostatic imp 1-3
GLENN,GLENN,,
ESTRECHEZ URETRAL,URETHRAL Narrowness,A4336,Urethral insert
LIBERACION CONDUCTO LAGRIMAL DERECHO,RIGHT TEAR DUCT RELEASE,,
RINOPLASTIA/LIPOSUCCION,RHINOPLASTY/LIPOSUCTION,,
OTS EHUMERO,OTS EHUMERO,L1653,Ho abduction static ots
OST MUÑECA DERECHA,OST RIGHT WRIST,A4422,Ost pouch absorbent material
2 CX RESECCION GANGLIO MUÑECA IZQ,2 CX LEFT WRIST GANGLION RESECTION,,
OST RADIO IZQUIERDO,OST LEFT RADIO,A4422,Ost pouch absorbent material
"ADENOIDECTOMIA , TURBINOPLASTIA , PLASTIA DE FRENILLO","ADENOIDECTOMY, TURBINOPLASTY, FRENUM PLASTY",,
OTS FEMUR,OTS FEMUR,L1653,Ho abduction static ots
DIS CECTOMIA POR HERNIA L4L5,DISCECTOMY FOR L4L5 HERNIA,,
"SEPTOTURBINOPLASTIA, UVULOPALATOPLASTIA, AMIGDALECTOMIA","SEPTOTURBINOPLASTY, UVULOPALATOPLASTY, TONSILLECTOMY",,
LAPAROSCOPIA GINECOLOGICO,GYNECOLOGICAL LAPAROSCOPY,S0610,Annual gynecological examina
MULTIPLES CIRUGIAS EN FEMUR,MULTIPLE SURGERIES ON FEMUR,,
CORRECION PIE PLANO,FLAT FOOT CORRECTION,L4631,"Afo, walk boot type, cus fab"
ADENOIDECTOMIA+ AMIGDDALECTOMIA + TV,ADENOIDECTOMY + TONSILLECTOMY + TV,,
HERNIA INGUINAL IZDA,LEFT INGUINAL HERNIA,G8395,Lvef>=40% doc normal or mild
CIRUGÍA ORTOPÉDICA DEL PIE,ORTHOPEDIC FOOT SURGERY,G4021,Orthopedic surgery ss
LAPAROSCOPIA GNECOLOGICA,GNECOLOGICAL LAPAROSCOPY,G0342,Laparoscopy islet cell trans
BYPASS,BYPASS,C1604,"Grft, trnsmurl/trnsvens byps"
CX DE RODILLA DERECHA.,RIGHT KNEE CX.,G9502,Med reas no perf foot exam
MAMOPLASTIA AUMENTO+LIPECTOMIA,MAMMOPLASTY AUGMENTATION+LIPECTOMY,G8876,Doc reas no min inv dx
RECT-SIGMOIDECTOMÍA,RECT-SIGMOIDECTOMY,G9936,Pmh plyp/neo co/rect/jun/ans
SUTURAS MULTIPLES,MULTIPLE SUTURES,G0431,Drug screen multiple class
BLEFAROPLSATIA,BLEPHAROPLSATIA,,
CIRUGIAS PLASTICAS,PLASTIC SURGERIES,L1930,Afo plastic
EVDA - COLONOSCOPIA #3,EVDA - COLONOSCOPY #3,G6019,Colonoscopy lesion removal
SLEEVE GASTRICO/COLECISTECTOMIA,GASTRIC SLEEVE/CHOLECYSTECTOMY,C9784,Endo sleeve gastro w/tube
CESAREA #3,CESAREA #3,S9438,Cesarean birth class
NASOLARINGOSPIA,NASOLARYNGOSPIA,,
OSTEOSINTESIS FX TIBIA,OSTEOSYNTHESIS FX TIBIA,,
EXTRACCION IBOADENOMA EN MAMA,IBOADENOMA EXTRACTION IN BREAST,,
SEPTOTURBINIPLASTIA,SEPTOTURBINIPLASTY,,
URTERONEDOSCOPIA FLEXIBLE + CATETER JJ,FLEXIBLE URTERONEDOSCOPY + JJ CATHETER,,
CX DE PIE,STANDING CX,E2301,Pwr standing
CESAREA 2011 Y 2014,CESAREA 2011 AND 2014,S9438,Cesarean birth class
RESECCIÓN LESION ENDOSCÓPÍCA,ENDOSCOPIC LESION RESECTION,C9724,Eps stomach plic
MASTECTOMÍA RADICAL + RECONSTRUCCIÓN,RADICAL MASTECTOMY + RECONSTRUCTION,,
AMIGDALECTAMIA,TONSILLECTAMY,,
CORRECCION CELES,CELES CORRECTION,A9285,Inversion eversion cor devic
VARICOSAFENECTOMIAS DOS VECES,VARICOSEPHENECTOMIES TWICE,,
EXPLORACIÓN VASCULAR MSI,MSI VASCULAR SCAN,M1193,Rpts w/ imp/con mmr/msi
CX ESTETICA #2,CX AESTHETICS #2,G9424,Site no lung or lung cx
URETEROENDOSCOPIA FLEXIBLE #3,FLEXIBLE URETEROENDOSCOPY #3,L5972,Flexible keel foot
CX DE COLUMNA POR TRAUMA,SPINE CX DUE TO TRAUMA,,
DECOMPRESION TUNEL MANO DERECHA,RIGHT HAND TUNNEL DECOMPRESSION,,
BX FEMUR,BX FEMUR,C1830,Power bone marrow bx needle
LIPOSUCCIÓN #2,LIPOSUCTION #2,,
CIRUGIA MOHS BRAZOS,MOHS ARMS SURGERY,,
YESO POR FX DE FEMUR,FEMUR FX CAST,L2126,Kafo fem fx cast thermoplas
FEB CX LABIO,FEB CX LIP,Q9953,"Inj fe-based mr contrast,1ml"
DESPRENDIMIENTO DE RETINA.,RETINA DETACHMENT.,C1784,"Ocular dev, intraop, det ret"
DESBRIDAMIENTO GLUTEOS,GLUTEAL DEBRIDEMENT,L2650,Pelv & thor control gluteal
CX LABIO,CX LIP,G9424,Site no lung or lung cx
PIELOSTOMA,PYELOSTOMA,,
ARTROSCOPIA RODILLA+LIBERACION TUNEL CARPO,KNEE ARTHROSCOPY + CARPAL TUNNEL RELEASE,,
QX DE EXTREMIDAD COMPROMETIDA,QX OF INVOLVED LIMB,,
PEXIA MAMAS,PEXIA MAMAS,,
OTS 5TO MTC DERECHO,OTS 5TH MTC RIGHT,,
RA MAS OTS DE FX DE MANO,RA MAS OTS HAND FX,,
CX PLASTICA OREJA DERECHA #5,CX PLASTIC RIGHT EAR #5,,
DRENAJE ABSCESO EN MAMA,BREAST ABSCESS DRAINAGE,C1789,"Prosthesis, breast, imp"
LAPARAOSCOPIA,LAPARAOSCOPY,,
RESECCIÓN ABSCESO HEPÁTICO,LIVER ABSCESS RESECTION,S2053,Transplantation of small int
HPAF MANO IZQ,HPAF LEFT HAND,,
HERNIORRAFIA INGUINAL CRURAL,INGUINAL CRURAL HERNIORRHAPHY,,
CIRUGÍAS PREVIAS EN MMIIS,PREVIOUS SURGERIES IN MMIIS,,
MANGUITO ROTADOR CONTRALATERAL,CONTRALATERAL ROTATOR CUFF,V5200,Disp fee contralateral monau
LEGRADOS GINECOLOGICOS,GYNECOLOGICAL CURETATIONS,S0610,Annual gynecological examina
MAMOPLASTIA DE AUMENTO + ABDOMINOPLASTIA,AUGMENTATION MAMMOPLASTY + ABDOMINOPLASTY,C9737,Lap esoph augmentation
LAPAROTOMIA POR HAF,LAPAROTOMY FOR HAF,G0343,Laparotomy islet cell transp
RESECCION GANGLION MANO DERECHA,RIGHT HAND GANGLION RESECTION,,
CX DE MAMA SUPERNUMERARIA,CX OF SUPERNUMERARY BREAST,,
OBSTRUCCION INTESTINAL,INTESTINAL OBSTRUCTION,G9712,Doc med rsn presc anbx
COLONOSCOPIA #3,COLONOSCOPY #3,G6019,Colonoscopy lesion removal
REDUCCION ABIERTA MAS OSTEOSINTESIS DE ULNA DERECHA,OPEN REDUCTION PLUS OSTEOSYNTHESIS OF THE RIGHT ULNA,,
"MAMOPLASTIA, LIPOSUCCION, RINOPLASTIA","MAMMOPLASTY, LIPOSUCTION, RHINOPLASTY",G8876,Doc reas no min inv dx
QX DEDOS MANOS,QX FINGERS HANDS,,
CX DE CORRECCION ESTRABISMO,CX STRABISMUS CORRECTION,G9424,Site no lung or lung cx
CIRCUNSCICIÓN,CIRCUMSCITION,,
CORRECION ATRESIA YEYUNAL,JEJUNAL ATRESIA CORRECTION,,
TX RENAL.,RENAL TX.,B5000,Parenteral sol renal-amirosy
CX FRACTURA 5 DEDO MANO DERECHA,CX FRACTURE 5 FINGER RIGHT HAND,,
LIBERACION TUNEL CARPIANO MANO IZQ,LEFT HAND CARPAL TUNNEL RELEASE,,
QX RODILLA IZDA #3,QX LEFT KNEE #3,G9502,Med reas no perf foot exam
SINDROME DE OVARIO POLIQUISTICO,POLYCYSTIC OVARY SYNDROME,,
CONDUCTO LACRIMAL #3,TEAR DUCT #3,A4262,Temporary tear duct plug
DILATTACIONES ANALES,ANAL DILATTATIONS,L8605,Inj bulking agent anal canal
VARIAS POR ENF ACTUAL,VARIOUS PER CURRENT ENF,,
URETEROLITOTOMIA+ CATDJ,URETEROLITOTOMY+ CATDJ,,
LAPAROTOMIA EXPLORATORIA - QUISTE OVARIO ROTO,EXPLORATORY LAPAROTOMY - BROKEN OVARIAN CYST,,
LAPAROSCOPIA MIOMECTOMIA,LAPAROSCOPY MYOMECTOMY,G0342,Laparoscopy islet cell trans
FIBROADENOMA MAMA,BREAST FIBROADENOMA,C1789,"Prosthesis, breast, imp"
UROLITOTOMIA TRANSURETRAL,TRANSURETHRAL UROLITOTOMY,C9748,Prostatic rf water vapor tx
OSTEOSINTESIS FX FEMUR,OSTEOSYNTHESIS FX FEMUR,,
ETMOIDECTOMIA,ETHMOIDECTOMY,,
LAVADO+DESBRIDAMIENTO MII,WASHING+DEBRIDEMENT MII,C7509,Dx bronch w/ navigation
FX HUESOS PROPIOS,FX OWN BONES,C1062,Intravertebral fx aug impl
CAMBIO DE IMPLANTES MAMARIO + LIPO,CHANGING BREAST IMPLANTS + LIPO,,
HERNIORRAFIA UMB.,UMB HERNIORRHAPHY.,C7565,Rpr aa hrn < 3 rdc w/ rmvl
SEPTORINOPLASTIA-CX MANO-MAMOPLASTIA AUMENTO,SEPTORYNOPLASTY-CX HAND-AUGMENT MAMMOPLASTY,,
MULTIPLES CX OFTALMICAS Y REVISIONES BAJO ANESTESIA,MULTIPLE OPHTHALMIC CX AND REVIEWS UNDER ANESTHESIA,,
LIPOSUCCION + LIPECTOMIA,LIPOSUCTION + LIPECTOMY,,
CX DE RECTO,STRAIGHT CX,L2310,Abduction bar-straight
ARTROSCOPIA 2016-2017,ARTHRSCOPY 2016-2017,,
CIRCUNCICIO,CIRCUMCICIO,,
RETIRO MAT OST FX FEMUR,MAT OST FX FEMUR REMOVAL,,
CAMBIO DE TUTOR EXTERNO,CHANGE OF EXTERNAL GUARDIAN,,
LEGRADA 2010-2012,CURRENT 2010-2012,G9642,Current smoker
ADENOIDES Y CORNETES CX,ADENOIDS AND Turbinates CX,,
QX DEDO MANO,QX FINGER HAND,L6900,Hand restorat thumb/1 finger
QX MANO,QX HAND,E2321,Hand interface joystick
CAMBIO POR PRIMERA VEZ DE PROTESIS MAMARIAS,CHANGING BREAST PROSTHESIS FOR THE FIRST TIME,,
RESECCION QUISTE EN MAMA DERECHA,CYST RESECTION IN RIGHT BREAST,,
BIOPSIA DE AMIGDALA,TONSILLA BIOPSY,G0364,Bone marrow aspirate &biopsy
ENDOCAOPIOA DIG ALTA,HIGH DIG ENDOCAOPIOA,K0004,High strength ltwt whlchr
REPALAROTOMIA,REPALAROTOMY,,
HERNIRRAFIA INGUINAL,INGUINAL HERNIRRHAPHY,,
RA + OTS FX CLAVICULA IZQ.,RA + OTS FX LEFT CLAVICLE,,
OSTEOSINTESIS RADIO DISTAL DERECHO,RIGHT DISTAL RADIO OSTEOSYNTHESIS,,
FX  INDICE MANO IZQ,FX INDEX LEFT HAND,,
ACROMIOPLASTIA HOMBRO IZQ,LEFT SHOULDER ACROMIOPLASTY,C9781,Arthro/shoul surg; w/spacer
RM CUELL,RM CUELL,C7540,Rmv&rplc pm dul w/l vnt lead
RESECCION PAPILOMAS LARINGEOS,LARYNGEAL PAPILLOMAS RESECTION,,
CATET IMPLANTABLE,IMPLANTABLE CATET,C1781,Mesh (implantable)
SEPTOPLASTIA RINOPLASTIA.,SEPTOPLASTY RHINOPLASTY.,,
TIROIDECTOMÍA 5 CIRUGÍAS.,THYROIDECTOMY 5 SURGERIES.,C7555,Rmvl thyrd w/autotran parath
ARTERIOGRAFÍA EMBOLIZACIÓN,EMBOLIZATION ARTERIOGRAPHY,C1884,Embolization protect syst
HISTERECTOMIA VAGINAL/COLPORRAFIAS,VAGINAL HYSTERECTOMY/COLPORRHAPHIES,J7303,Contraceptive vaginal ring
"CX DE MANO,","HAND CX,",E2321,Hand interface joystick
RESECCION LESION DEDO MANO,HAND FINGER INJURY RESECTION,,
CORRECCION HUESOS LARGO MII,MII LONG BONES CORRECTION,,
LAPAROTOMIA POR OBSTRUCCION INTESTINAL #2,LAPAROTOMY FOR INTESTINAL OBSTRUCTION #2,G9712,Doc med rsn presc anbx
SUTURA DE HOMBRO,SHOULDER SUTURE,L5699,Shoulder harness
OTS CALCANEO,OTS CALCANEO,L1653,Ho abduction static ots
CAT IMPLANTABLE,IMPLANTABLE CAT,C1781,Mesh (implantable)
PLACA ACROMIO CLAVICULAR DER,RIGHT CLAVICULAR ACROMIO PLATE,,
"EMB ECTOPICO ,SALPINGUECTOMIA  DER","ECTOPIC EMB, RIGHT SALPINGECTOMY",,
SINDACTILIA,SYNDACTYLY,,
RESECCION QUISTES SEBACEOS EN DORSO,RESECTION OF SEBACEOUS CYSTS ON THE BACK,,
CX DE HERNOA DISCAL L4L5,CX OF HERNOA DISC L4L5,,
ORQUIDECTOMIAIZQ,LEFT ORCHIDECTOMY,G8395,Lvef>=40% doc normal or mild
QX OD,QX OD,G2142,Fs odi 9-15mo postop<= 22
CISTOURETROPEXIA VIA VAGINAL,VAGINAL CYSTOURETHROPEXY,J7303,Contraceptive vaginal ring
RA Y OTS TIBIA Y PERONE,RA AND OTS TIBIA AND PERONE,,
POMEROY /HERNIORRAFIA UMBILICAL,POMEROY/UMBILICAL HERNIORRHAPHY,,
DESCOMPRESION TUNEL MANO IZDA,LEFT HAND TUNNEL DECOMPRESSION,,
TRURBINOPLASTIA,TRURBINOPLASTY,,
NEFROLITIASIS,NEPHROLITHIASIS,,
CX FISURA ANAL,CX ANAL FISSURE,G9424,Site no lung or lung cx
C0LOCACION CAT IMPLANTABLE,IMPLANTABLE CAT PLACEMENT,C1781,Mesh (implantable)
FX RADIO,FX RADIO,C1062,Intravertebral fx aug impl
CESAAREA,CESAREA,S9438,Cesarean birth class
RESANGRADO PÓP DE CUADRANTECTOMIA,QUADRANTECTOMY POP BLEEDING,,
CX DIVERTICULOS,CX DIVERTICLES,G9424,Site no lung or lung cx
OTS EN RADIO O HUMERO,OTS ON RADIO OR HUMERO,,
RA + OST CODO DERECHO,RA + OST RIGHT ELBOW,,
CX POR CATARATA,CX BY CATARACT,G9424,Site no lung or lung cx
MAMOPLASTIA DE AUMENTO Y 2017,MAMMOPLASTY AND AUGMENTATION 2017,G8880,Sen lym p node biop not perf
OTS FEMUR IZDO,OTS LEFT FEMUR,L1653,Ho abduction static ots
CX ABSCESO PALPEBRAL,CX EYELID ABSCESS,G9424,Site no lung or lung cx
ESTATICAS,STATIC,Q4049,"Finger splint, static"
CX DE JUANETE,BUNION CX,G9424,Site no lung or lung cx
TORACOSTOMIA AL NACIEMINTO,THORACOSTOMY AT BIRTH,G9507,Doc reas on statin or contra
TURBINECTOMÍA,TURBINECTOMY,,
SAFENOVARICECTOMIA MIIZDA,SAFENOVARICECTOMY MIIZDA,,
ENDOSCOIA/COLONOSCOPIA,ENDOSCOY/COLONOSCOPY,G6019,Colonoscopy lesion removal
RETIRO DE OTS,OTS WITHDRAWAL,L1653,Ho abduction static ots
ABLACION WPW,WPW ABLATION,C1886,"Catheter, ablation"
CX DE HOMBRO,SHOULDER CX,L5699,Shoulder harness
RESECCION DE TUMOR/ CATETER IMPLANTABLE,TUMOR RESECTION/IMPLANTABLE CATHETER,,
IMPLANTES MAMARIOS,BREAST IMPLANTS,C1789,"Prosthesis, breast, imp"
OSTEOSINTESIS DE HOMBRO DERECHO,RIGHT SHOULDER OSTEOSYNTHESIS,C1605,"Pmkr, dual, leadless"
ARTROSCOPIAN RODILLA RECONSTRUCCION DE MENISCOS Y LIGAMENTO CRUZADO,ARTHROSCOPIAN KNEE RECONSTRUCTION OF MENISCUS AND CRUCIATED LIGAMENT,,
NODULO MAMARIO,BREAST NODULE,C1789,"Prosthesis, breast, imp"
CA BASOCELULAR NASAL,NASAL BASIC CELLULAR AC,,
RA + OTS TOBILLO DERECHO,RA + OTS RIGHT ANKLE,,
RINO-TURBINOPLASTIA,RHINO-TURBINOPLASTY,,
RA OTS DE ANTEBRAZO,FOREARM RA OTS,E0110,Crutch forearm pair
COLOCACION Y RETIRO DE CATETER IMPLANTABLE,PLACEMENT AND REMOVAL OF IMPLANTABLE CATHETER,,
LAMINECTOMIA C3 MAS PLACA POR SINDROME DE LATIGAZO,C3 LAMINECTOMY PLUS PLAQUE DUE TO WHIPPAGE SYNDROME,,
CESAREAS (3),CAESAREAS (3),,
"RINOPLASTIA, ADENOIDES","RHINOPLASTY, ADENOIDS",G2097,Dx uri 3d after other dx
RA+ OTS DE FX DE HUMERO DISTAL,RA+ DISTAL HUMEROUS FX OTS,,
LIBERAC ADHERENCIAS POR LAPAROSCOPIA,RELEASE ADHESIONS BY LAPAROSCOPY,,
VARICOSAFECTOMIA,VARICOSE AFFECTOMY,,
BYPAS GASTRIICO,GASTRIIC BYPAS,C1604,"Grft, trnsmurl/trnsvens byps"
TRAUMA OCULAR,EYE TRAUMA,A6410,Sterile eye pad
POLIPO UTERINO,UTERINE POLYP,S9001,Home uterine monitor with or
HERNIORRAFIA UMBILIACAL CIRCUNCICION,UMBILIACAL HERNIORRHAPHY CIRCUMCITION,,
CATETER IMPLANTABLKE QUIMIO,IMPLANTABLKE CHEMIO CATHETER,,
DRENAJE ABSCESO PERIPANCREATICO,PERIPANCREATIC ABSCESS DRAINAGE,,
CIRUGÍA DE CUERO CABELLUDO,SCALP SURGERY,C5275,Low cost skin substitute app
RESECCIÓN DE TUMOR EN LA NARÍZ,TUMOR RESECTION IN THE NOSE,,
HERNIA UMBILICA,UMBILIC HERNIA,C7565,Rpr aa hrn < 3 rdc w/ rmvl
VARICECTOMIA MIS,MIS VARICECTOMY,,
CX DE AMIGDALAS,CX OF TONSILS,G8709,Uri ep compete diag
ADENOIDECTOMIA+ TURBINOPLASTIA,ADENOIDECTOMY + TURBINOPLASTY,,
CX DEDO IZQUIERDO,CX LEFT FINGER,G9424,Site no lung or lung cx
MULTIPLES CX DE FÉMUR,MULTIPLE CX OF FEMUR,,
SUAVE BRISA,GENTLE BREEZE,,
REDUCCION FRACTURA,FRACTURE REDUCTION,E0276,Bed pan fracture
4 CIRUGÍAS EN MII,4 SURGERIES IN MII,,
RESECCIÓN DE TUMOR CEREBRAL.,BRAIN TUMOR RESECTION.,G9595,Doc shnt/tum/coag
OSTEOSINTESIS DE MALEOLO IZQUIERDO,OSTEOSYNTHESIS OF LEFT MALEOLUS,,
LABIO,LIP,Q9955,"Inj perflexane lip micros,ml"
NEFROLITOOTMIA PERCUTANEA .,PERCUTANEOUS NEPHROLITHOTMIA.,A5200,Percutaneous catheter anchor
CIRUGA DE HEMANGIOMA OCULAR EN 4 OCASIONES,OCULAR HEMANGIOMA SURGERY ON 4 OCCASIONS,,
RMN POR CLAUSTROFOBÍA.,MRI FOR CLAUSTROPHOBIA.,G9455,"Abd imag w/us, ct or mri"
"FISTULOTOMÍA , ESFINTEROTOMIA ANAL","FISTULOTOMY, ANAL SPHINTEROTOMY",,
MANGJITO ROTADOR,ROTATOR HANDLE,L7259,Electronic wrist rotator any
HERNIAS INGUNAL Y UMBILICAL,INGUNAL AND UMBILICAL HERNIAS,,
RESECCIÓN DE LESIÓN EN DEDO MANO IZQ.,RESECTION OF LEFT FINGER INJURY.,,
"IQ: BIOPSIA POR LAPAROSCOPIA DE HIGADO, COLECISTECTOMIA VIA LAPAROSCOPICA, GASTRECTOMIA VERTICAL [MANGA GASTRICA] POR LA","IQ: LAPAROSCOPIC BIOPSY OF THE LIVER, LAPAROSCOPIC CHOLECYSTECTOMY, VERTICAL GASTRECTOMY [GASTRICAL SLEEVE]",,
OTOESCLEROSIS,OTOSCLEROSIS,,
RESECCION POLIPO LARINGEO,LARYNGAL POLYP RESECTION,,
RINOPLATIA,RHINOPLATIA,,
2 CX SNP,2 CX SNP,G9424,Site no lung or lung cx
CIRUGIA DE CALCANEO,CALCANEUS SURGERY,G9643,Elective surgery
ORQUIDOPEXIA-ORQUIECTOMIA,ORCHIDOPEXY-ORCHIECTOMY,G9132,Onc dx prostate mets no cast
ALARGAMIENTO DE T AQUILES,LENGTHING OF T ACHILLES,,
CX DE LUXACION DE CADERA,HIP DISLOCATION CX,L5702,Replace socket hip
SEGUNDO COLGAJO,SECOND FLAP,G9784,Path/derm prov 2nd biop opin
R. LESIONES PAPILOMATOSAS POR CCC,R. PAPILLOMATOUS LESIONS DUE TO CCC,,
MAMOPLASTIA DE AUMENTO LIPOESCULTURA,LIPOSCULPTURE AUGMENTATION MAMMOPLASTY,,
EXPLORACAION OCULAR,EYE EXAMINATION,A6410,Sterile eye pad
GINECOMASTIA,GYNECOMASTIA,,
RESECCION DE MASA DERECHA MAXILAR,MAXILLARY RIGHT MASS RESECTION,,
ESTABILIZACION L1,L1 STABILIZATION,L0625,Lo flex l1-below l5 pre ots
RINOPLASTIA + MAMOPLATIA DE AUMENTO,RHINOPLASTY + AUGMENTATION MAMMOPLASTY,,
CESEA,CESEA,,
RESECCION DE MASA OJO IZQUIERDO BENIGNO,BENIGN LEFT EYE MASS RESECTION,,
CX RECONSTRUCTIVA TIBIA Y PERONE,TIBIA AND PERONE RECONSTRUCTIVE CX,,
PUNCIÓN LUMBAR,LUMBAR PUNCTURE,L1040,Lumbar or lumbar rib pad
OST DE PIERNA,LEG OST,A5112,Urinary leg bag
TRASPLANTE DE MO,MO TRANSPLANT,L0130,Flex thermoplastic collar mo
MARCACION ABDOMINAL,ABDOMINAL MARKING,L1270,Abdominal pad
OSTE DE TOBILLO,ANKLE WEST,E1816,Sps/pass ankle device
CISTOSCOPIA + CATETER DOBLE J,CYSTOSCOPY + DOUBLE J CATHETER,,
OSTEPOSISNTESIS DE HÚMERO,OSTEPOSISNTHESIS OF HUMERUS,,
CUADRANTECTOMIA MAMAS (BENIGNO),BREAST QUADRANTECTOMY (BENIGN),C1789,"Prosthesis, breast, imp"
MULTIPLES PROCEDMIENTO ORTOPEDICO REFERIDO EN LA ENF. ACTUAL,MULTIPLE ORTHOPEDIC PROCEDURE REFERRED IN ENF. CURRENT,,
OSTEOMA OSTIODE TIBIA,TIBIA OSTIO OSTEOMA,C8003,Imp extar knee shck absrb
HERNIAORRAFIA UMBILICAL,UMBILICAL HERNIAORRHAPHY,S2150,Bmt harv/transpl 28d pkg
SEPTOPLASTIA.,SEPTOPLASTY.,,
OSTEOSINTESIS DE RADIO DERECHO,RIGHT RADIUS OSTEOSYNTHESIS,C1605,"Pmkr, dual, leadless"
HERNIA INGUNALES Y UMBILICAL,INGUNAL AND UMBILICAL HERNIA,,
ABACION DE EXTRASISTOLE VENTRICULAR,ABATION OF VENTRICULAR EXTRASYSTOLE,,
