input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
FRACTURA COLUMNA LUMBAR L2,L2 LUMBAR SPINE FRACTURE,,,,,
"ENDOMETRIOSIS , LEIOMIOMAS","ENDOMETRIOSIS, LEIOMYOMAS",,,,N80.8,Other endometriosis
MAMOPLASTIA CON PROTESIS,MAMMOPLASTY WITH PROSTHESIS,,,,,
QUERATOPATIA VESICULAR OJO DERECHO,VESICULAR KERATOPATHY RIGHT EYE,,,,H18.11,"Bullous keratopathy, right eye"
"FIMOSIS, FISURAS Y BALANITIS","PHIMOSIS, FISSURES AND BALANITIS",,,,,
AFLOJAMIENTO PERIACETABULAR DERECHO,RIGHT PERIACETABULAR LOOSENING,,,,T84.030S,"Mechanical loosening of internal right hip prosthetic joint, sequela"
NODULO DE MAMA DERECHA,RIGHT BREAST NODULE,,,,S20.111S,"Abrasion of breast, right breast, sequela"
"MASA ANEXO IZQUIERDO, CALCULOS RENALES","LEFT ANNEX MASS, KIDNEY CALCULATIONS",,,,,
CEFALEA  A ESTUDIO,HEADACHE TO STUDY,,,,G44.81,Hypnic headache
DOLOR LUMBAR CADERA DER,RIGHT HIP LUMBAR PAIN,,,,M25.551,Pain in right hip
MAS MAMA DERECHA,MORE RIGHT BREAST,,,,S98.211S,"Complete traumatic amputation of two or more right lesser toes, sequela"
HERNIA UMBILICAL+GRANULOMA,UMBILICAL HERNIA + GRANULOMA,,,,K42.1,Umbilical hernia with gangrene
FRACTURA 5 DEDO MANO DER,FRACTURE 5 RIGHT FINGER,,,,M84.344S,"Stress fracture, right finger(s), sequela"
POLIDACTILIA PIE DER,RIGHT FOOT POLYDACTYLY,,,,M21.371,"Foot drop, right foot"
"CONSTIPACIOJ , DOLOR ABDOMINAL","CONSTIPATION, ABDOMINAL PAIN",,,,R10.84,Generalized abdominal pain
MASA ANEXIAL COMPLEJA IZQ,LEFT COMPLEX ANNEXAL MASS,,,,,
MASA ESTERNAL,STERNAL MASS,,,,S22.23XS,"Sternal manubrial dissociation, sequela"
ENDOMETRIOMA OVARIO DERECHO,RIGHT OVARIAN ENDOMETRIOMA,,,,N83.201,"Unspecified ovarian cyst, right side"
HERNIAS UMBILICAL E INGUINAL SINTOMÁTICAS,SYMPTOMATIC UMBILICAL AND INGUINAL HERNIAS,,,,,
UROLITIASIS COMPLEJA IZQUIERDA,LEFT COMPLEX UROLITIASIS,,,,G90.512,Complex regional pain syndrome I of left upper limb
VARICOLCELE,VARICOLCELE,,,,,
TUMOR TIBIA PROXIMAL DERECHA,RIGHT PROXIMAL TIBIA TUMOR,,,,M89.160,"Complete physeal arrest, right proximal tibia"
ENDOMETRIOMA DE PARED ABDOMINAL/PARIDAD SATISFECHA,ABDOMINAL WALL ENDOMETRIOMA/SATISFIED PARITY,,,,,
TRANSTORNOS DE LOS MENISCOS,DISORDERS OF THE MENISCUS,,,,L91.8,Other hypertrophic disorders of the skin
LEISON VASCULAR VENOSA EN CARA,VENOUS VASCULAR LEISON ON FACE,,,,,
HEMANGIOMA MIEMBRO SUPERIOR DERECHO,RIGHT UPPER LIMB HEMANGIOMA,,,,G56.41,Causalgia of right upper limb
"CARATA AMBOS OJOS, PEOR EL DERECHO","FACE BOTH EYES, WORSE THE RIGHT",,,,,
TUMOR TIBIA IZQUIERDA,LEFT TIBIA TUMOR,,,,M87.862,"Other osteonecrosis, left tibia"
TENOSINOVITIS DE FLEXORES DEDO PULGAR MANODN ER,FLEXOR TENOSYNOVITIS OF THE THUMB MANODN ER,,,,,
INESTABILIDAD LIGAMENTARIA DEL TOBILLO IZQ,LIGAMENTARY INSTABILITY OF THE LEFT ANKLE,,,,,
EXPLANTE MAMARIO,BREAST EXPLANATION,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
PROTESIS  MAMARIAS,BREAST PROSTHESIS,,,,Z44.30,"Encounter for fitting and adjustment of external breast prosthesis, unspecified breast"
LESION PAROTIDEA DERECHA PREAURICULAR QUISTICA,CYSTIC PREAURICULAR RIGHT PAROTID LESION,,,,,
RONCA + OTITIS MEDIA A REPETICION,SNORING + OTITIS MEDIA REPETITION,,,,,
DIFICULTAR PARA ORINAR,DIFFICULT TO URINATE,,,,T88.4XXS,"Failed or difficult intubation, sequela"
EDOMETRIOSIS PROFUNDA,DEEP EDOMETRIOSIS,,,,N94.12,Deep dyspareunia
FRACTURA DE TIBIA Y PERNOE,FRACTURE OF TIBIA AND PERNOE,,,,,
DESINSERCION DE FLEXOR PROFUNDO DE 5 DEDO DE MANO IZUIQERDA,REMOVAL OF DEEP FLEXOR OF 5 FINGER OF LEFT HAND,,,,,
DISFONIA POR REFUJO,REFUGION DYSPHONIA,,,,R49.0,Dysphonia
TRAUMA URETRAL,URETHRAL TRAUMA,,,,N34.0,Urethral abscess
POLITRAUMATISMO CON FRACTURA DE L2,POLYTRAUMA WITH L2 FRACTURE,,,,,
LEIOMIOMA SUBMUCOSO  DEL UTERO,SUBMUCOUS LEIOMIOMA OF THE UTERUS,,,,,
SECUELAS ARTITIS SEPTIA MIEMBRO NFERIOR IZQ,AFTERMATH ARTITIS SEPTIA LEFT LOWER LIMB,,,,,
ESCOLIOSIS IDIOPATICA SEVERA DOBLE CURVA,SEVERE IDIOPATHIC DOUBLE CURVE SCOLIOSIS,,,,,
SOSPECHA DE COUNICACION INTERVENTRICULAR,SUSPECTED INTERVENTRICULAR COMUNICATION,,,,T76.11XS,"Adult physical abuse, suspected, sequela"
ARTOSIS DE RODILLA IZQUIERDA,LEFT KNEE ARTHOSIS,,,,M23.42,"Loose body in knee, left knee"
BLEFAROPTOSIS CONGENITA,CONGENITAL BLEPHAROPTOSIS,,,,Q76.3,Congenital scoliosis due to congenital bony malformation
GANGLION+TUNEL CARPO DERECHO,RIGHT CARPAL GANGLION+TUNNEL,,,,G56.01,"Carpal tunnel syndrome, right upper limb"
COMPRESIONES DE RAICES Y PLEXOS NERVIOSO,COMPRESSIONS OF ROOTS AND NERVOUS PLEXUS,,,,,
OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN L,OTHER SYMPTOMS AND SIGNS INVOLVING,,,,R45.89,Other symptoms and signs involving emotional state
GASTRITIS A ESTUDIO,GASTRITIS UNDER STUDY,,,,K29.00,Acute gastritis without bleeding
LESIÓN DEL LIGAMENTO CRUZADO ANTERIOR Y DEL MENISCO LATERAL,INJURY OF THE ANTERIOR CRUCIATED LIGAMENT AND THE LATERAL MENISCUS,,,,,
SENSACION DE CUERPO EXTRAÑO EN GARGANTA,FOREIGN BODY SENSATION IN THROAT,,,,R09.A2,"Foreign body sensation, throat"
HIPERPLASIA PROSTATAICA,PROSTATE HYPERPLASIA,,,,A18.14,Tuberculosis of prostate
REFLUJO VESICOURETERAL/URETEROCELETERAL,VESICOURETERAL/URETEROCELETERAL REFLUX,,,,N13.71,Vesicoureteral-reflux without reflux nephropathy
TUNEL DE CARPO MANO IZQUIERDA + ATRAPAMIENTO DEDOS 1 2 Y 3 MANP IZQUIERDA,"LEFT HAND CARPAL TUNNEL + ENTRAPMENT OF FINGERS 1, 2 AND 3 LEFT HAND",,,,,
DOLOR PELVICO EN ESTUDIO,PELVIC PAIN IN STUDY,,,,,
SÍNTOMAS MICCIONALES DE VACIAMIENTO,VOIDING VOIDING SYMPTOMS,,,,F43.29,Adjustment disorder with other symptoms
LESION MENISCAL Y LIGAMENTO COLATERAL RODILLA IZQUIERDA,MENISCAL INJURY AND COLLATERAL LIGAMENT OF LEFT KNEE,,,,,
"POP DE CIRUGIA DE MIEMBRO INFERIOR DERECHO, REINTERVENCION DE CALCANEO","POP OF RIGHT LOWER LIMB SURGERY, CALCANEUS RE-INTERVENTION",,,,,
NASO ANGIOFIBROMA,NASO ANGIOFIBROMA,,,,A36.1,Nasopharyngeal diphtheria
HIPERPLAIA PROSTATICA,PROSTATIC HYPERPLAIA,,,,B38.81,Prostatic coccidioidomycosis
RUPTURA LIGAMENTO CRUZADO ANTERIOR RODILLA IZQUIERDA,ANTERIOR CRUCIATED LIGAMENT RUPTURE OF LEFT KNEE,,,,,
IMPLANTE SUBCUTÁNEO,SUBCUTANEOUS IMPLANT,,,,T79.7XXS,"Traumatic subcutaneous emphysema, sequela"
HEMORRAGIA UTERINA ANOMALA,ABNORMAL UTERINE HEMORRHAGE,,,,N93.9,"Abnormal uterine and vaginal bleeding, unspecified"
FRACTURA DE FÉMUR .,FEMUR FRACTURE.,,,,M84.351S,"Stress fracture, right femur, sequela"
PINZIENTO ANTEROLATERAL TOBILLO DERECHO,RIGHT ANKLE ANTEROLATERAL PINCH,,,,,
CODILOMATOSIS ULVAR,ULVAR CODYLOMATOSIS,,,,,
OTROS TRASTORNOS FUNCIONALES DEL PARPADO,OTHER FUNCTIONAL DISORDERS OF THE EYELID,,,,,
LESION DE NERVIO CUBITAL .,CUBITAL NERVE INJURY.,,,,P11.3,Birth injury to facial nerve
POLINEUROPATIA,POLYNEUROPATHY,,,,B02.23,Postherpetic polyneuropathy
ANTECEDENTE DE BALANITIS,HISTORY OF BALANITIS,,,,Z91.81,History of falling
SECUELAS DE TRAUMATISMO INTRACRANEAL .,SEQUELUES ​​OF INTRACRANIAL TRAUMA.,,,,,
SANGRADO VAGINALES,VAGINAL BLEEDING,,,,N93.1,Pre-pubertal vaginal bleeding
ANTECEDNETE MALROTACION INTESTINAL,HISTORY OF INTESTINAL MALROTATION,,,,,
ESCOLIOSIS SECUNDARIA,SECONDARY SCOLIOSIS,,,,M41.50,"Other secondary scoliosis, site unspecified"
DOLOR CRÓNICO RODILLA IZQUIERDA,CHRONIC LEFT KNEE PAIN,,,,M23.52,"Chronic instability of knee, left knee"
LESIONES CONDILOMATOSIS PERIANALES,PERIANAL CONDYLOMATOSIS LESIONS,,,,K64.5,Perianal venous thrombosis
LESION INTOITO,INTOIT INJURY,,,,P15.2,Sternomastoid injury due to birth injury
ESTENOSIS MEATAL RECURRENTE,RECURRENT MEATAL STENOSIS,,,,G47.13,Recurrent hypersomnia
ANEURISMAS CAROTIDEO,CAROTID ANEURYSMS,,,,G90.01,Carotid sinus syncope
LESIÓN DE EL LABRUM HOMBRO IZQUIEDO,LEFT SHOULDER LABRUM INJURY,,,,S43.432S,"Superior glenoid labrum lesion of left shoulder, sequela"
SUBLIXACION ATM,ATM SUBLIXATION,,,,W94.21XA,"Exposure to reduction in atmospheric pressure while surfacing from deep-water diving, initial encounter"
ANEURISMA DE ARTERAI HIPOFISIARIA SUPERIOR DERECHA,RIGHT UPPER PITUITARY ARTERIAL ANEURYSM,,,,,
REFLUJO ESTUDIO,REFLUX STUDY,,,,N13.71,Vesicoureteral-reflux without reflux nephropathy
DISPOSITIVO INTRAUTERINO IN SITU,IN SITU INTRAUTERINE DEVICE,,,,O26.30,"Retained intrauterine contraceptive device in pregnancy, unspecified trimester"
DEFECTO HERNIARIO EN EPIGASTRIO,HERNIARY DEFECT IN EPIGASTRIUM,,,,,
DEFECTO MANDIBULAR,MANDIBULAR DEFECT,,,,M26.03,Mandibular hyperplasia
LESION CADERA DERECHA,RIGHT HIP INJURY,,,,S77.01XS,"Crushing injury of right hip, sequela"
ECTROPIÓN OJO,EYE ECTROPION,,,,H02.103,"Unspecified ectropion of right eye, unspecified eyelid"
PARESTESIAS HEMICRANEANAS,HEMICRANEAN PARASTHESIAS,,,,,
HERNIA INGUINAL IZUQIERDA,LEFT INGUINAL HERNIA,,,,N83.42,Prolapse and hernia of left ovary and fallopian tube
CALCULO DEL URETER,URETER CALCULATION,,,,N20.1,Calculus of ureter
HENRIA INGUINAL BILATERAL+ LIPOMA PECTORAL,BILATERAL INGUINAL HENRIA + PECTORAL LIPOMA,,,,,
DOLOR CRONICO HOMBRO IZQUIERDO Y LUMBAR,CHRONIC LEFT SHOULDER AND LUMBAR PAIN,,,,,
RESONANCIA DE COLU,COLU RESONANCE,,,,C41.2,Malignant neoplasm of vertebral column
OSTEOMIELITIS MANDIBULAR IZQUIERDA/SEUDOARTROSIS,LEFT MANDIBULAR OSTEOMYELITIS/PSEUDOARTHRHISIS,,,,,
HERNIA INGUINAL / UMBILICAL,INGUINAL/UMBILICAL HERNIA,,,,K40.11,"Bilateral inguinal hernia, with gangrene, recurrent"
DIENTE EN LA MUCOSA DEL PISO DE LA NARIZ,TOOTH IN THE MUCOSA OF THE FLOOR OF THE NOSE,,,,,
HERNIA UMBILICAL SINOTOMÁTICA,SYNOTOMATIC UMBILICAL HERNIA,,,,K42.1,Umbilical hernia with gangrene
LESION QUISTICA EN CARA MEDIAL DE LA RODILLA IZQUIERDA,CYSTIC LESION ON THE MEDIAL ASPECT OF THE LEFT KNEE,,,,,
GANGLION DEDO IDNCIE MANO IZQ+TENOSINOVITIS,IDNCIE FINGER GANGLION LEFT HAND+TENOSYNOVITIS,,,,,
ESTENOSIS VALVULAR AORTICA SEVERA,SEVERE AORTIC VALVULAR STENOSIS,,,,,
OSTEOSINTENSIS CLAVICULA,CLAVICLE OSTEOSINTENSIS,,,,C41.3,"Malignant neoplasm of ribs, sternum and clavicle"
TUNEL CARPIANAO MANO DERECHA,RIGHT HAND CARPAL TUNNEL,,,,M92.211,"Osteochondrosis (juvenile) of carpal lunate [Kienbock], right hand"
"HERNIA UMBILICAL,EPIGASTRICA Y DIASTASIS DE RECTOS ABDOMINALES","UMBILICAL, EPIGASTRIC HERNIA AND DIASTASIS OF THE ABDOMINAL RECTI",,,,,
CESAREA A TERMINO,TERMINAL CESARESAREAN,,,,N26.1,Atrophy of kidney (terminal)
DOLOR ABDOMINLA,ABDOMINAL PAIN,,,,R10.84,Generalized abdominal pain
"INCONTINENCIA URINARIA, NO ESPECIFICADA","URINARY INCONTINENCE, UNSPECIFIED",,,,R32,Unspecified urinary incontinence
TESTICULO NO DESCENDIDO + CURVATURA VENTRAL DEL PENE,UNDESCENDED TESTICLE + VENTRAL CURVATURE OF THE PENIS,,,,,
ESTRIDOR,STRIDOR,,,,R06.1,Stridor
CANCER UNION ANO RECTAL,CANCER ANUS RECTAL UNION,,,,,
DESGARRO MENISCO RODILLA DERECHA,RIGHT KNEE MENISCUS TEAR,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
FRACTURA CONSOLIDADA TOBILLO IZQUIERDO,CONSOLIDATED FRACTURE OF LEFT ANKLE,,,,,
MASA TUMORAL QUISTICA Y COMPLEJA ABDOMINOPELVICA ANEXIAL OVARICA IZQUIERDA,LEFT ABDOMINOPELVIC ANNEXAL OVARIAN CYSTIC AND COMPLEX TUMORAL MASS,,,,,
LESION 4 DEDO PIE IZQUIERDO,INJURY 4 LEFT TOE,,,,S97.112S,"Crushing injury of left great toe, sequela"
PATERNIDAD SARISFECHA,SARISDATED PATERNITY,,,,Z02.81,Encounter for paternity testing
DESCARTAR VARICES ESOFAGICAS.,RULING OUT ESOPHAGEAL VARICES.,,,,,
CALCIFICACION CODO DER,RIGHT ELBOW CALCIFICATION,,,,S53.031S,"Nursemaid's elbow, right elbow, sequela"
HIPERTRODIA CORNETES/DESVIACION TABIQUE,CORNETAL HYPERTHRODIA/SEPTUM DEVIATION,,,,,
DOLOR LUMBOSACRO CON CARACTERÍSTICAS AXIALES Y MIOFASCIALES,LUMBOSACRAL PAIN WITH AXIAL AND MYOFASCIAL FEATURES,,,,,
TENDOSINOVITIS,TENDOSYNOVITIS,,,,,
SINDROME DE OHVIRA,OHVIRA SYNDROME,,,,D68.61,Antiphospholipid syndrome
ENCONDROMA 2 DEDO PIE IZQUIERDO,ENCHONDROMA 2 LEFT TOE,,,,L03.032,Cellulitis of left toe
MIOMA DE GRAN TAMAÑO,LARGE SIZE MYOMA,,,,L41.4,Large plaque parapsoriasis
LESION 5 DEDO MANO DERECHA,INJURY 5 FINGER RIGHT HAND,,,,S69.91XS,"Unspecified injury of right wrist, hand and finger(s), sequela"
OSTEOFITO  PLANTAR,PLANTAR OSTEOPHYTE,,,,B07.0,Plantar wart
LORDOSIS CERVICAL,CERVICAL LORDOSIS,,,,M50.20,"Other cervical disc displacement, unspecified cervical region"
LESION METASTASICA HEPATICA,LIVER METASTATIC LESION,,,,Z52.6,Liver donor
TUNEL CARPO + TENOSINOVITISDEDO MANO IZQ,CARPAL TUNNEL + LEFT HAND FINGER TENOSYNOVITIS,,,,,
ENFERMEDAD DE REFLUJO GATROESOFAGICO,GATROESOPHAGEAL REFLUX DISEASE,,,,K21.9,Gastro-esophageal reflux disease without esophagitis
LIPOMA EN FRENTE,LIPOMA IN FRONT,,,,Y02.0XXS,"Assault by pushing or placing victim in front of motor vehicle, sequela"
HALLUX VALGUS IZQUIERDA,HALLUX VALGUS LEFT,,,,M20.12,"Hallux valgus (acquired), left foot"
CONTROL MEDICO,MEDICAL CONTROL,,,,F40.232,Fear of other medical care
LIPOMA SUPRAAURICULAR DERECHO,RIGHT SUPRAAURICULAR LIPOMA,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
PERFORACION TIMPANICA SUB TOTAL MUCOSA DE OIDO MEDIO,SUB TOTAL TYMPANICAL PERFORATION MIDDLE EAR MUCOSA,,,,,
DISPLASIA VULVAR,VULVAR DYSPLASIA,,,,N90.0,Mild vulvar dysplasia
LESION DE LIGAMENTO CRUZADO ANTERIO RODILLA IZQUIERDA,ANTERIOR CRUCIATED LIGAMENT INJURY LEFT KNEE,,,,,
RESPIRACION ORAL,ORAL BREATHING,,,,K12.0,Recurrent oral aphthae
CUERPO EXTRAÑO SENO MAXIÑLAR IZQUIERDO,LEFT MAXILAR SINUS FOREIGN BODY,,,,,
HIPERTROFIA DE CORNETES + DESVIACION TABIQUE NASAL,CORNETAL HYPERTROPHY + NASAL SEPTUM DEVIATION,,,,,
FRACTURA CADERA,HIP FRACTURE,,,,M84.359S,"Stress fracture, hip, unspecified, sequela"
ENDOMETRIOSIS VS VARIES PELVICAS,ENDOMETRIOSIS VS PELVIC VARIES,,,,,
MASA DE OVARIO DERECHO,RIGHT OVARY MASS,,,,C56.1,Malignant neoplasm of right ovary
MALFORMACION VASCULAR PIERNA DERECHA,VASCULAR MALFORMATION OF THE RIGHT LEG,,,,,
INCONTINENCIA URINARIA/PROLAPSO DE ORGANOS PELVICOS,URINARY INCONTINENCE/PELVIC ORGAN PROLAPSE,,,,,
FRACTURA 4TO MTC MANO DERECHA,FRACTURE 4TH MTC RIGHT HAND,,,,,
PRÓTESIS MAMARIAS,BREAST PROSTHESES,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
SOSPECHA DE CONDROSARCOMA TIBIA DERECHA,SUSPECTED RIGHT TIBIA CHONDROSARCOMA,,,,,
SIALOADENITIS Y SIALOLITIASIS,SIALOADENITIS AND SIALOLITIASIS,,,,K11.20,"Sialoadenitis, unspecified"
VPH 16,HPV 16,,,,Z11.51,Encounter for screening for human papillomavirus (HPV)
LESION LABRUM HOMBRO DERECHOQ,RIGHT SHOULDER LABRUM INJURY,,,,S43.431S,"Superior glenoid labrum lesion of right shoulder, sequela"
LESIONES MAXILARES Y MANDIBULARES,MAXILLARY AND MANDIBULAR INJURIES,,,,,
UROPATIA OBSTRUCTIVA,OBSTRUCTIVE UROPATHY,,,,N13.8,Other obstructive and reflux uropathy
DEFORMIDAD DE DEDO(S) DE LA MANO,DEFORMITY OF FINGER(S) OF THE HAND,,,,Q68.1,Congenital deformity of finger(s) and hand
SINTOMAS RESPIRATORIOS,RESPIRATORY SYMPTOMS,,,,P24.00,Meconium aspiration without respiratory symptoms
PSA ELEVADO,HIGH PSA,,,,G47.32,High altitude periodic breathing
DOLOR LUMABR,LUMABR PAIN,,,,N50.82,Scrotal pain
G2A1 EMBARAZO A TERMINO,G2A1 PREGNANCY AT TERM,,,,,
HERNIA FEMORA IZQUIERDA,LEFT FEMORA HERNIA,,,,N83.42,Prolapse and hernia of left ovary and fallopian tube
OTITIS MEDIA CRONICA Y PERFORACION,CHRONIC OTITIS MEDIA AND PERFORATION,,,,,
VARICOCELE RECIDIVANTE,RECURRING VARICOCELE,,,,,
LESION  SENO IZQUIERDO,LEFT BREAST INJURY,,,,S20.112S,"Abrasion of breast, left breast, sequela"
TUMOR EN REGOIN SELAR SOBRE VIA VISUAL,TUMOR IN SELAR REGION ON VISUAL APPROACH,,,,,
LESION PARPADO SUPERIOR DERECHO,RIGHT UPPER EYELID INJURY,,,,H02.531,Eyelid retraction right upper eyelid
RUPTURA DEL LIGAME,RUPTURE OF THE LIGAME,,,,I71.21,"Aneurysm of the ascending aorta, without rupture"
QUISTE EN CABEZA DE PANCREAS,CYST IN HEAD OF PANCREAS,,,,,
LESIÓN PALPEBRAL Y NASAL DERECHA CONSISTENTE CON MALFORMACIÓN VENOSA,RIGHT EYELID AND NASAL LESION CONSISTENT WITH VENOUS MALFORMATION,,,,,
SINUSITIS  CRÓNICA  DERECHA PREDOMINIO MAXILAR  Y ETMOIDAL,"CHRONIC RIGHT SINUSITIS, MAXILLARY AND ETMOIDAL PREDOMINANCE",,,,,
EPICONDILITIS LATERAL DE AMBOS CODOS.,LATERAL EPICONDILITIS OF BOTH ELBOWS.,,,,,
TUMOR DE LA CORNEA,CORNEAL TUMOR,,,,H16.313,"Corneal abscess, bilateral"
RUPTURA COMPLETA DE LIGAMENTO CRUZADO ANTERIOR,COMPLETE RUPTURE OF THE ANTERIOR CRUCIATED LIGAMENT,,,,,
LESIONE SPARPADO INFERIOR IZQUIERDO,LEFT LOWER SPARP INJURY,,,,S87.82XS,"Crushing injury of left lower leg, sequela"
OTORS TRANSTORNOS D ELOS MENISCOS,OTHER DISORDERS OF THE MENISCES,,,,L91.8,Other hypertrophic disorders of the skin
POLIPO ANAL,ANAL POLYP,,,,K62.0,Anal polyp
"HIPERTROFIA DE ADENOIDES, CORNETES  Y AMIGDALAS.","HYPERTROPHY OF ADENOIDS, CORNETES AND TONSILS.",,,,,
TUMOR MALIGNO DE PIEL DE PÁRPADO,Malignant tumor of the eyelid skin,,,,,
ANTEROLISTESIS GRADO II DE L5-S1,L5-S1 GRADE II ANTEROLYSTHESIS,,,,,
NECROSIS AVASUCLAR DE CABEZA DEL FEMUR.,AVASUCLAR NECROSIS OF THE HEAD OF THE FEMUR.,,,,,
DONANTE DE SEGMENTO HEPATICO,LIVER SEGMENT DONOR,,,,Z52.6,Liver donor
FRACTURA DE VERTEBRA POR FATIGA,VERTEBRA FRACTURE DUE TO FATIGUE,,,,,
OTITIS MEDIA SUPURATIVA IZQUIERDA,LEFT SUPPURATIVE OTITIS MEDIA,,,,H66.42,"Suppurative otitis media, unspecified, left ear"
ESTUDIO DE HEPATITIS AUTOINMUNE,AUTOIMMUNE HEPATITIS STUDY,,,,K75.4,Autoimmune hepatitis
LESION DE NERVIO RADIAL DERECHO,RIGHT RADIAL NERVE INJURY,,,,S54.21XS,"Injury of radial nerve at forearm level, right arm, sequela"
LESION MENISCAL Y DESINSERCION LIGAMENTO CRUZADO ANTERIOR RODILLA IZQUIERDA,MENISCAL INJURY AND DISINSERTION OF ANTERIOR CRUCIATED LIGAMENT OF THE LEFT KNEE,,,,,
BLOQUEO MIEMBRO SUPERIOR IZQUIERDO,LEFT UPPER LIMB LOCK,,,,G56.42,Causalgia of left upper limb
LESIÓN DEL CRUZADO ANTERIOR Y DESGARRO DE MENISCO RODILLA IZQUIERDA,ANTERIOR CRUSADE INJURY AND LEFT KNEE MENISCUS TEAR,,,,,
SINDROME DE DOWN Y COMUNICACION INTRA VENTRICULAR,DOWN SYNDROME AND INTRA VENTRICULAR COMMUNICATION,,,,,
CARINCOMATOSIS PERITONEAL,PERITONEAL CARINCOMATOSIS,,,,K65.1,Peritoneal abscess
DOLOR ABDOMINAL CRONICO-ESTREÑIMIENTO CRONICO MODERADO A SEVERO,CHRONIC ABDOMINAL PAIN-MODERATE TO SEVERE CHRONIC CONSTIPATION,,,,,
MIOMATOSIS UTERINA+ANEMIA,UTERINE MYOMATOSIS+ANEMIA,,,,O62.1,Secondary uterine inertia
UVEITIS,UVEITIS,,,,H44.133,"Sympathetic uveitis, bilateral"
MIOMATOIS UTERINA/CISTECTOMIA OVARIO IZQUIERDO,UTERINE MYOMATOIS/LEFT OVARIAN CYSTECTOMY,,,,,
CATETER DOBLE J IZQUIERDO,LEFT DOUBLE J CATHETER,,,,,
SINDROME PRONADOR,PRONATOR SYNDROME,,,,D68.61,Antiphospholipid syndrome
PORTADORA DE PROTESIS MAMARIA,BREAST PROSTHESIS CARRIER,,,,Z44.30,"Encounter for fitting and adjustment of external breast prosthesis, unspecified breast"
HERNIRA INGUINAL DERECHA,RIGHT INGUINAL HERN,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
CICATRIZ HIPERTROFICA Y TENOSINOVITIS,HYPERTROPHIC SCAR AND TENOSYNOVITIS,,,,,
INSENSIBLIDAD A LOS ANDROGENOS,ANDROGEN INSENSITIVITY,,,,E34.50,"Androgen insensitivity syndrome, unspecified"
MASA EN LENGUA,MASS ON TONGUE,,,,R19.05,"Periumbilic swelling, mass or lump"
ANEURISMACERERBRAL,CEREBRAL ANEURYSM,,,,I67.1,"Cerebral aneurysm, nonruptured"
TENOSINBVITID ED FLEXOR ALRGO DE PULGAR DE MANOD ERECHA,TENOSINBVITID ED LONG THUMB FLEXOR OF RIGHT HAND,,,,,
MASA EN PARPADO INFERIOR OJO IZQUIERDO,MASS IN LOWER EYELID LEFT EYE,,,,,
RECONSTRUCCION LIGAMENTO CRUZADO ANTERIOR RODILLA DERECHA,ANTERIOR CRUCIATED LIGAMENT RECONSTRUCTION OF THE RIGHT KNEE,,,,,
ENCEFALOPATIA EPILEPTICA,EPILEPTICAL ENCEPHALOPATHY,,,,E51.2,Wernicke's encephalopathy
SINDROME TUNEL CARPIANO MAS TENOSINOVITIS DE LA MANO DERECHA,CARPAL TUNNEL SYNDROME PLUS TENOSYNOVITIS OF THE RIGHT HAND,,,,,
GASTRITITIS,GASTRITITIS,,,,,
NODULO MAMARIO DERECHO,RIGHT BREAST NODULE,,,,S20.111S,"Abrasion of breast, right breast, sequela"
SINDROME TUNEL CARIANO BILATERAL,BILATERAL CARIAL TUNNEL SYNDROME,,,,G56.03,"Carpal tunnel syndrome, bilateral upper limbs"
ARTRALGIA CADERA IZQ,LEFT HIP ARTHRALGY,,,,M70.72,"Other bursitis of hip, left hip"
"EMBARAZO A TERMINO, PODALICO","TERM PREGNANCY, PODALIC",,,,O48.0,Post-term pregnancy
MATERIAL OSTEOSINTESIS ANTEBRAZO,FOREARM OSTEOSYNTHESIS MATERIAL,,,,M86.8X3,"Other osteomyelitis, forearm"
ESTENOSIS E INSUFICIENCIA DE LAS VIAS LA,STENOSIS AND INSUFFICIENCY OF THE LA WAY,,,,,
OBSTRUCCIÓN DE CUELLO VESICAL,BLADDER NECK OBSTRUCTION,,,,N32.0,Bladder-neck obstruction
LUXACION ACROMIOCLAVICULAR LADO DERECHO,RIGHT SIDE ACROMIOCLAVICULAR DISLOCATION,,,,S03.01XS,"Dislocation of jaw, right side, sequela"
PARESTESIAS AL REALIZAR COMRPESION DE NERVIO MEDIANO,PARESTHESIAS WHEN PERFORMING MEDIAN NERVE COMPRESSION,,,,,
SINDROME DEL TUNEL CARPIANO BILATERAL SEVERO,SEVERE BILATERAL CARPAL TUNNEL SYNDROME,,,,,
OTRAS TROMBOCITOPENIAS PRIMARIAS,OTHER PRIMARY THROMBOCYTOPENIAS,,,,D68.59,Other primary thrombophilia
OSTEOSINTESIS FRACTURA TOBILLO IZQUIERDO,OSTEOSYNTHESIS LEFT ANKLE FRACTURE,,,,M84.372S,"Stress fracture, left ankle, sequela"
GANGLION PALMAR DE MUÑECA IZQUIERDA,PALMAR GANGLION OF LEFT WRIST,,,,,
FRENILLO LINGUAL Y LABIAL SUPERIOR,LINGUAL AND UPPER LABIAL FRENUM,,,,,
